      1,     582,    492
      2,     570,    490
      4,     761,    697
      8,    1116,    723
     16,     968,    822
     32,    1044,    929
     64,     963,    859
    128,     863,    850
    256,    1022,    509
    512,    1020,    561
   1024,    1001,    515
   2048,    1073,    527
   4096,    3046,    596
   8192,    1597,    654
  16384,    1503,   1043
  32768,    1494,   1150
  65536,    2279,   1682
 131072,    2580,   1879
 262144,    3291,   2521
 524288,    4730,   3855
1048576,    7591,   6669
2097152,   13968,  12046
4194304,   32333,  22903
