      1,     645,    507
      2,     644,    495
      4,     634,    494
      8,     641,    505
     16,     647,    494
     32,     667,    505
     64,     693,    497
    128,     714,    494
    256,     828,    497
    512,    1085,    502
   1024,    1335,    588
   2048,    1967,    501
   4096,    4245,    717
   8192,    7343,    576
  16384,   14996,   1032
  32768,   12459,    488
  65536,   24088,    655
 131072,   36995,    845
 262144,   77562,   1121
 524288,  182033,   1989
1048576,  364497,   3459
2097152,  630493,   5194
4194304, 1315184,  10334
