      1,    4958,   3906
      2,    5212,   3949
      4,    5246,   3923
      8,    7374,   4246
     16,    8988,   4206
     32,    5367,   4027
     64,    5189,   3946
    128,    5063,   3886
    256,    5148,   4201
    512,    5080,   3973
   1024,    2538,   1772
   2048,    2171,   1712
   4096,    2207,   1710
   8192,    2620,   2022
  16384,    3323,   2582
  32768,    4610,   3681
  65536,    7189,   5802
 131072,   12581,  10424
 262144,   22616,  18702
 524288,   53449,  34843
1048576,  113886,  73492
2097152,  248396, 247129
4194304,  509281, 442662
8388608,  996785, 884680
